ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	192.514	P	0.00010954
AFFX-BioB-M_at	352.846	P	4.42873e-05
AFFX-BioB-3_at	213.583	P	5.16732e-05
AFFX-BioC-5_at	444.344	P	5.16732e-05
AFFX-BioC-3_at	500.012	P	4.42873e-05
AFFX-BioDn-5_at	1539.31	P	4.42873e-05
AFFX-BioDn-3_at	2845.43	P	5.16732e-05
AFFX-CreX-5_at	7021.79	P	5.16732e-05
AFFX-CreX-3_at	7832.51	P	4.42873e-05
AFFX-DapX-5_at	239.425	P	6.02111e-05
AFFX-DapX-M_at	527.424	P	0.000296708
AFFX-DapX-3_at	649.761	P	5.16732e-05
AFFX-LysX-5_at	31.2059	P	0.000194887
AFFX-LysX-M_at	47.2667	P	0.00762003
AFFX-LysX-3_at	85.4262	P	4.42873e-05
AFFX-PheX-5_at	53.0483	P	6.02111e-05
AFFX-PheX-M_at	60.2072	P	0.000126798
AFFX-PheX-3_at	75.7191	P	0.000662269
AFFX-ThrX-5_at	77.1829	P	0.00010954
AFFX-ThrX-M_at	101.398	P	4.42873e-05
AFFX-ThrX-3_at	183.272	P	4.42873e-05
AFFX-TrpnX-5_at	7.08166	A	0.440646
AFFX-TrpnX-M_at	6.39686	A	0.440646
AFFX-TrpnX-3_at	0.61357	A	0.941556
AFFX-r2-Ec-bioB-5_at	311.208	P	0.000244141
AFFX-r2-Ec-bioB-M_at	348.509	P	0.000244141
AFFX-r2-Ec-bioB-3_at	318.167	P	0.000244141
AFFX-r2-Ec-bioC-5_at	540.354	P	0.000244141
AFFX-r2-Ec-bioC-3_at	644.772	P	0.000244141
AFFX-r2-Ec-bioD-5_at	3295.31	P	0.000244141
AFFX-r2-Ec-bioD-3_at	4013.25	P	0.000244141
AFFX-r2-P1-cre-5_at	7920.65	P	0.000244141
AFFX-r2-P1-cre-3_at	10448.5	P	0.000244141
AFFX-r2-Bs-dap-5_at	368.087	P	0.000244141
AFFX-r2-Bs-dap-M_at	549.184	P	0.000244141
AFFX-r2-Bs-dap-3_at	679.302	P	0.000244141
AFFX-r2-Bs-lys-5_at	53.1806	P	0.000244141
AFFX-r2-Bs-lys-M_at	35.3759	P	0.000244141
AFFX-r2-Bs-lys-3_at	36.1138	P	0.000244141
AFFX-r2-Bs-phe-5_at	72.0625	P	0.000244141
AFFX-r2-Bs-phe-M_at	78.0294	P	0.000244141
AFFX-r2-Bs-phe-3_at	87.55	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	251.791	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	195.206	P	0.000732422
AFFX-r2-Bs-thr-5_s_at	113.801	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	179.306	P	5.16732e-05
AFFX-HUMISGF3A/M97935_MA_at	452.977	P	7.00668e-05
AFFX-HUMISGF3A/M97935_MB_at	361.587	P	4.42873e-05
AFFX-HUMISGF3A/M97935_3_at	978.031	P	5.16732e-05
AFFX-HUMRGE/M10098_5_at	175.584	P	7.00668e-05
AFFX-HUMRGE/M10098_M_at	131.197	P	0.00010954
AFFX-HUMRGE/M10098_3_at	143.505	P	0.000296708
AFFX-HUMGAPDH/M33197_5_at	2965	P	4.42873e-05
AFFX-HUMGAPDH/M33197_M_at	2665.34	P	4.42873e-05
AFFX-HUMGAPDH/M33197_3_at	3109.06	P	4.42873e-05
AFFX-HSAC07/X00351_5_at	8916.88	P	4.42873e-05
AFFX-HSAC07/X00351_M_at	9718.5	P	4.42873e-05
AFFX-HSAC07/X00351_3_at	10970.9	P	4.42873e-05
AFFX-M27830_5_at	411.269	P	4.42873e-05
AFFX-M27830_M_at	649.758	P	0.00255552
AFFX-M27830_3_at	4.73659	A	0.672921
AFFX-hum_alu_at	12520.3	P	2.6068e-13
1007_s_at	37.4967	P	0.0489947
1053_at	93.811	P	0.00306668
117_at	1794.71	P	0.000218889
121_at	83.5018	A	0.127645
1255_g_at	0.528344	A	0.960635
1294_at	221.668	P	0.000321521
1316_at	14.7187	P	0.00754291
1320_at	2.46914	A	0.849473
1405_i_at	392.207	P	0.00049077
1431_at	5.58693	A	0.204022
1438_at	5.5967	A	0.541184
1487_at	194.285	P	0.0170005
1494_f_at	22.6763	P	0.0439678
1598_g_at	61.3632	A	0.0813367
160020_at	62.6768	P	0.0313357
1729_at	277.433	P	0.000467546
1773_at	58.2994	P	0.00868918
177_at	24.363	P	0.000959383
179_at	82.9994	P	0.0489947
1861_at	71.1021	P	0.00189162
200000_s_at	442.064	P	0.000244141
200001_at	494.955	P	0.000732422
200002_at	2451.74	P	0.000244141
200003_s_at	8278.93	P	0.000244141
200004_at	3411.85	P	0.000244141
200005_at	913.23	P	0.000244141
200006_at	1083.64	P	0.000244141
200007_at	1553.54	P	0.000244141
200008_s_at	799.759	P	0.000244141
200009_at	2067.66	P	0.000244141
200010_at	4265.43	P	0.000244141
200011_s_at	721.385	P	0.000244141
200012_x_at	5185.52	P	0.000244141
200013_at	3120.95	P	0.000244141
200014_s_at	1629.47	P	0.000244141
200015_s_at	750.689	P	0.000732422
200016_x_at	2797.4	P	0.000244141
200017_at	4658.2	P	0.000244141
200018_at	5520.58	P	0.000244141
200019_s_at	4440.91	P	0.000244141
200020_at	304.362	P	0.000244141
200021_at	6144.9	P	0.0012207
200022_at	4431.5	P	0.000244141
200023_s_at	1201	P	0.000244141
200024_at	2716.56	P	0.000732422
200025_s_at	4693.6	P	0.000244141
200026_at	7562.58	P	0.000244141
200027_at	672.637	P	0.000244141
200028_s_at	224.417	P	0.000732422
200029_at	4792.42	P	0.000244141
200030_s_at	1543.48	P	0.000244141
200031_s_at	7492.16	P	0.000244141
200032_s_at	7349.2	P	0.000244141
