,x,y
0,0.661674774,0.604148472
1,0.572863099,0.750686213
2,0.549722029,0.459856519
3,0.691070188,0.521054273
4,0.451528839,0.577199002
5,0.302675469,0.617061759
6,0.498436414,0.599095446
7,0.706080612,0.464348097
8,0.402119527,0.359357455
9,0.591626129,0.382376794
10,0.477797081,0.764722396
11,0.492807505,0.659170306
12,0.512821404,0.35205864
13,0.482175122,0.467716781
14,0.444023628,0.532844666
15,0.319562196,0.673206488
16,0.651042391,0.380131004
17,0.425260598,0.601902682
18,0.379603892,0.67489083
19,0.490305768,0.535090455
20,0.477171647,0.631659389
21,0.447150799,0.626044916
22,0.419631689,0.642888334
23,0.746108409,0.408203369
24,0.464037526,0.480068621
25,0.47466991,0.362164691
26,0.567859625,0.510386775
27,0.500938151,0.498034934
28,0.592251564,0.435152838
29,0.383356498,0.54238927
30,0.451528839,0.375639426
31,0.522202919,0.518808484
32,0.458408617,0.411010605
33,0.572863099,0.472769807
34,0.719214732,0.337461011
35,0.632279361,0.586743606
36,0.368346074,0.581129133
37,0.728596247,0.353742982
38,0.54409312,0.633343731
39,0.50218902,0.459856519
40,0.498436414,0.420555209
41,0.786136206,0.439082969
42,0.580368311,0.325670618
43,0.342077832,0.581129133
44,0.345205003,0.924734872
45,0.685441279,0.578883344
46,0.592876998,0.58169058
47,0.546594858,0.411572052
48,0.332696317,0.472769807
49,0.287665045,0.488490331
50,0.575364837,0.591235184
51,0.544718555,0.664223331
52,0.318936762,0.441890206
53,0.592251564,0.658047411
54,0.527206393,0.486805989
55,0.367095205,0.295352464
56,0.39961779,0.6294136
57,0.312056984,0.510948222
58,0.353961084,0.562601372
59,0.577866574,0.514878353
60,0.411501042,0.580006238
61,0.64228631,0.446943231
62,0.45590688,0.453119152
63,0.337699792,0.518247037
64,0.25514246,0.449189021
65,0.517199444,0.6602932
66,0.559103544,0.361041797
67,0.38085476,0.689488459
68,0.461535789,0.536774797
69,0.435892981,0.431784155
70,0.307678944,0.474454148
71,0.38085476,0.513194011
72,0.598505907,0.259419838
73,0.247011814,0.408203369
74,0.459034051,0.657485964
75,0.335823489,0.348689956
76,0.416504517,0.320617592
77,0.346455872,0.425046787
78,0.559103544,0.688365565
79,0.244510076,0.357111666
80,0.777380125,0.406519027
81,0.783634468,0.546880848
82,0.434016678,0.392482845
83,0.276407227,0.677698066
84,0.559103544,0.375077979
85,0.218241835,0.562601372
86,0.340201529,0.388552714
87,0.365844336,0.627729258
88,0.490305768,0.37900811
89,0.408999305,0.490174672
90,0.368971508,0.380131004
91,0.629152189,0.702401747
92,0.165705351,0.435714286
93,0.37647672,0.423923893
94,0.505941626,0.712507798
95,0.312682418,0.422800998
96,0.433391244,0.470524017
97,0.32018763,0.649064255
98,0.426511466,0.224048659
99,0.62352328,0.53621335
100,0.574113968,0.617061759
101,0.532209868,0.280193387
102,0.407748436,0.665907673
103,0.564732453,0.543512165
104,0.532209868,0.610324392
105,0.305802641,0.562039925
106,0.273280056,0.506456644
107,0.330820014,0.622676232
108,0.657922168,0.425046787
109,0.580993746,0.411572052
110,0.41838082,0.536774797
111,0.283287005,0.385745477
112,0.452154274,0.196537742
113,0.614767199,0.64794136
114,0.44152189,0.509825328
115,0.466539263,0.5569869
116,0.397116053,0.478945727
117,0.540340514,0.428976918
118,0.328318277,0.236961946
119,0.492807505,0.320617592
120,0.642911744,0.549688085
121,0.350833912,0.6602932
122,0.671056289,0.474454148
123,0.36209173,0.384622583
124,0.453405142,0.349251404
125,0.509694232,0.541827823
126,0.285788742,0.330162196
127,0.403370396,0.399781659
128,0.435892981,0.486805989
129,0.427136901,0.325670618
130,0.482800556,0.283562071
131,0.640410007,0.504210855
132,0.62790132,0.409887711
133,0.400243224,0.263349969
134,0.355211953,0.532844666
135,0.397116053,0.7327199
136,0.365844336,0.736088584
137,0.51657401,0.677698066
138,0.234503127,0.524422957
139,0.226997915,0.621553337
140,0.789888812,0.615377417
141,0.216990966,0.670399251
142,0.721091035,0.573830318
143,0.317060459,0.710262009
144,0.262022238,0.610324392
145,0.509068798,0.368340611
146,0.444649062,0.756300686
147,0.407123002,0.72036806
148,0.13818624,0.804585153
149,0.455281445,0.707454772
150,0.595378735,0.754054897
151,0.667303683,0.648502807
152,0.487804031,0.775951341
153,0.181341209,0.586743606
154,0.224496178,0.736650031
155,0.435267547,0.729912664
156,0.243259208,0.573830318
157,0.170708826,0.4845602
158,0.58599722,0.224610106
159,0.211362057,0.459856519
160,0.397741487,0.81749844
161,0.756115358,0.506456644
162,0.803648367,0.573268871
163,0.554100069,0.736088584
164,0.165705351,0.322863381
165,0.674808895,0.262227074
166,0.114419736,0.284123518
167,0.266400278,0.737772926
168,0.612890896,0.724298191
169,0.666678249,0.263349969
170,0.296421126,0.288053649
171,0.536587908,0.232470368
172,0.61914524,0.304897068
173,0.701702571,0.648502807
174,0.537838777,0.839394885
175,0.684815844,0.14320025
176,0.171959694,0.664223331
177,0.80990271,0.289176544
178,0.595378735,0.761915159
179,0.491556637,0.16790393
180,0.289541348,0.755739239
181,0.784885337,0.724298191
182,0.706706046,0.696787274
183,0.201355108,0.326232065
184,0.357088256,0.810199626
185,0.88933287,0.597972551
186,0.880576789,0.526107299
187,0.377727589,0.193169058
188,0.310806115,0.224048659
189,0.560354413,0.165658141
190,0.746733843,0.269525889
191,0.362717165,0.078072364
192,0.108790827,0.606955708
193,0.67981237,0.870835933
194,0.081897151,0.447504679
195,0.103787352,0.377323768
196,0.810528145,0.347567062
197,0.820535094,0.472769807
198,0.076893676,0.343636931
199,0.918728284,0.769775421
200,0.84742877,0.779320025
201,0.211362057,0.283562071
